indicator_code,ACC_BANK_ONLY,ACC_MM_ACCOUNT,ACC_OWNERSHIP,ACC_OWNERSHIP_FEMALE,ACC_OWNERSHIP_MALE,ACC_OWNERSHIP_RURAL,ACC_OWNERSHIP_URBAN,ENV_3G_COVERAGE,ENV_4G_COVERAGE,ENV_ATM_DENSITY,ENV_BANK_BRANCHES,ENV_DIGITAL_ID,ENV_ELECTRICITY_ACCESS,ENV_INTERNET_PENETRATION,ENV_LITERACY_RATE,ENV_MERCHANT_ACCEPTANCE,ENV_MM_AGENTS,ENV_MOBILE_PENETRATION,ENV_RURAL_SHARE,OPS_MPESA_USERS,OPS_P2P_ATM_RATIO,OPS_TELEBIRR_USERS,USG_DIGITAL_PAYMENT,USG_FORMAL_BORROWING,USG_MM_ACTIVE,USG_MM_ACTIVE_RATIO,USG_WAGE_DIGITAL
ACC_BANK_ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC_MM_ACCOUNT,,1.0,0.8329812331356283,,,,,,,,,,,,,,,,,,,,,,,,
ACC_OWNERSHIP,,0.8329812331356283,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ACC_OWNERSHIP_FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC_OWNERSHIP_MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC_OWNERSHIP_RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC_OWNERSHIP_URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_3G_COVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_4G_COVERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_ATM_DENSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_BANK_BRANCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_DIGITAL_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_ELECTRICITY_ACCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_INTERNET_PENETRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_LITERACY_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_MERCHANT_ACCEPTANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_MM_AGENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_MOBILE_PENETRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENV_RURAL_SHARE,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS_MPESA_USERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS_P2P_ATM_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS_TELEBIRR_USERS,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USG_DIGITAL_PAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
USG_FORMAL_BORROWING,,,,,,,,,,,,,,,,,,,,,,,,,,,
USG_MM_ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
USG_MM_ACTIVE_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
USG_WAGE_DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
